Type                                  Module                      Label             Process   
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"     
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "HLT"     
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"     
double                                "hltScoutingCaloPacker"     "caloMetPhi"      "HLT"     
double                                "hltScoutingCaloPacker"     "caloMetPt"       "HLT"     
double                                "hltScoutingPFPacker"       "pfMetPhi"        "HLT"     
double                                "hltScoutingPFPacker"       "pfMetPt"         "HLT"     
double                                "hltScoutingCaloPacker"     "rho"             "HLT"     
double                                "hltScoutingPFPacker"       "rho"             "HLT"     
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonGEMDigis"           "GEM"             "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "HLT"     
edm::HepMCProduct                     "generatorSmeared"          ""                "HLT"     
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "HLT"     
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "simEcalDigis"              "ebSrFlags"       "HLT"     
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "simEcalDigis"              "eeSrFlags"       "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
float                                 "genParticles"              "t0"              "HLT"     
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<ScoutingCaloJet>               "hltScoutingCaloPacker"     ""                "HLT"     
vector<ScoutingElectron>              "hltScoutingEgammaPacker"   ""                "HLT"     
vector<ScoutingMuon>                  "hltScoutingMuonPacker"     ""                "HLT"     
vector<ScoutingMuon>                  "hltScoutingMuonPackerCalo"   ""                "HLT"     
vector<ScoutingPFJet>                 "hltScoutingPFPacker"       ""                "HLT"     
vector<ScoutingParticle>              "hltScoutingPFPacker"       ""                "HLT"     
vector<ScoutingPhoton>                "hltScoutingEgammaPacker"   ""                "HLT"     
vector<ScoutingVertex>                "hltScoutingMuonPacker"     "displacedVtx"    "HLT"     
vector<ScoutingVertex>                "hltScoutingMuonPackerCalo"   "displacedVtx"    "HLT"     
vector<ScoutingVertex>                "hltScoutingPrimaryVertexPacker"   "primaryVtx"      "HLT"     
vector<ScoutingVertex>                "hltScoutingPrimaryVertexPackerCaloMuon"   "primaryVtx"      "HLT"     
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "HLT"     
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJetsNoNu"            ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJetsNoNu"            ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genPUProtons"              ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
vector<pair<int,bitset<6> > >         "mix"                       "AffectedAPVList"   "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
BXVector<GlobalAlgBlk>                "hltGtStage2Digis"          ""                "MYHLT"   
BXVector<GlobalAlgBlk>                "hltGtStage2ObjectMap"      ""                "MYHLT"   
BXVector<GlobalAlgBlk>                "simGtStage2Digis"          ""                "MYHLT"   
BXVector<GlobalAlgBlk>                "unpackGtStage2"            ""                "MYHLT"   
BXVector<GlobalExtBlk>                "hltGtStage2Digis"          ""                "MYHLT"   
BXVector<GlobalExtBlk>                "unpackGtStage2"            ""                "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma"          "MYHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma"          "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma2"         "MYHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma2"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma3"         "MYHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma3"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma4"         "MYHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma4"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma5"         "MYHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma5"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma6"         "MYHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma6"         "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum"           "MYHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum"           "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum2"          "MYHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum2"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum3"          "MYHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum3"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum4"          "MYHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum4"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum5"          "MYHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum5"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum6"          "MYHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum6"          "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet"             "MYHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet"             "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet2"            "MYHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet2"            "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet3"            "MYHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet3"            "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet4"            "MYHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet4"            "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet5"            "MYHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet5"            "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet6"            "MYHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet6"            "MYHLT"   
BXVector<l1t::Muon>                   "hltL1MuonsPt0"             ""                "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon"            "MYHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon"            "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon2"           "MYHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon2"           "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon3"           "MYHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon3"           "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon4"           "MYHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon4"           "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon5"           "MYHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon5"           "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon6"           "MYHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon6"           "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau"             "MYHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau"             "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau2"            "MYHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau2"            "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau3"            "MYHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau3"            "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau4"            "MYHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau4"            "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau5"            "MYHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau5"            "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau6"            "MYHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau6"            "MYHLT"   
EBDigiCollection                      "hltEcalDigis"              "ebDigis"         "MYHLT"   
EEDigiCollection                      "hltEcalDigis"              "eeDigis"         "MYHLT"   
ESDigiCollection                      "hltEcalPreshowerDigis"     ""                "MYHLT"   
FEDRawDataCollection                  "hltFEDSelector"            ""                "MYHLT"   
FEDRawDataCollection                  "packGtStage2"              ""                "MYHLT"   
FEDRawDataCollection                  "rawDataCollector"          ""                "MYHLT"   
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "MYHLT"   
GlobalObjectMapRecord                 "simGtStage2Digis"          ""                "MYHLT"   
HcalDataFrameContainer<QIE10DataFrame>    "hltHcalDigis"              ""                "MYHLT"   
HcalDataFrameContainer<QIE10DataFrame>    "hltHcalDigis"              "LASERMON"        "MYHLT"   
HcalDataFrameContainer<QIE10DataFrame>    "hltHcalDigis"              "ZDC"             "MYHLT"   
HcalDataFrameContainer<QIE11DataFrame>    "hltHcalDigis"              ""                "MYHLT"   
HcalUMNioDigi                         "hltHcalDigis"              ""                "MYHLT"   
HcalUnpackerReport                    "hltHcalDigis"              ""                "MYHLT"   
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "hltMuonCSCDigis"           "MuonCSCALCTDigi"   "MYHLT"   
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCLCTDigi"   "MYHLT"   
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "hltMuonCSCDigis"           "MuonCSCComparatorDigi"   "MYHLT"   
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCorrelatedLCTDigi"   "MYHLT"   
MuonDigiCollection<CSCDetId,CSCDCCFormatStatusDigi>    "hltMuonCSCDigis"           "MuonCSCDCCFormatStatusDigi"   "MYHLT"   
MuonDigiCollection<CSCDetId,CSCRPCDigi>    "hltMuonCSCDigis"           "MuonCSCRPCDigi"   "MYHLT"   
MuonDigiCollection<CSCDetId,CSCStripDigi>    "hltMuonCSCDigis"           "MuonCSCStripDigi"   "MYHLT"   
MuonDigiCollection<CSCDetId,CSCWireDigi>    "hltMuonCSCDigis"           "MuonCSCWireDigi"   "MYHLT"   
MuonDigiCollection<DTLayerId,DTDigi>    "hltMuonDTDigis"            ""                "MYHLT"   
MuonDigiCollection<RPCDetId,RPCDigi>    "hltMuonRPCDigis"           ""                "MYHLT"   
RPCRawDataCounts                      "hltMuonRPCDigis"           ""                "MYHLT"   
bool                                  "hltDoubletRecoveryPFlowPixelClusterCheck"   ""                "MYHLT"   
bool                                  "hltIter1PFlowPixelClusterCheck"   ""                "MYHLT"   
bool                                  "hltIter2IterL3FromL1MuonPixelClusterCheck"   ""                "MYHLT"   
bool                                  "hltIter2IterL3MuonPixelClusterCheck"   ""                "MYHLT"   
bool                                  "hltIter2PFlowPixelClusterCheck"   ""                "MYHLT"   
bool                                  "hltIter3IterL3FromL1MuonPixelClusterCheck"   ""                "MYHLT"   
bool                                  "hltIter3IterL3MuonPixelClusterCheck"   ""                "MYHLT"   
double                                "hltFixedGridRhoFastjetAll"   ""                "MYHLT"   
double                                "hltAK4CaloJetsPF"          "rho"             "MYHLT"   
double                                "hltAK4Iter1TrackJets4Iter2"   "rho"             "MYHLT"   
double                                "hltAK4PFJets"              "rho"             "MYHLT"   
double                                "hltAK4PFJetsForTaus"       "rho"             "MYHLT"   
double                                "hltAkIsoTau10Regional"     "rho"             "MYHLT"   
double                                "hltAkIsoTau11Regional"     "rho"             "MYHLT"   
double                                "hltAkIsoTau12Regional"     "rho"             "MYHLT"   
double                                "hltAkIsoTau1Regional"      "rho"             "MYHLT"   
double                                "hltAkIsoTau2Regional"      "rho"             "MYHLT"   
double                                "hltAkIsoTau3Regional"      "rho"             "MYHLT"   
double                                "hltAkIsoTau4Regional"      "rho"             "MYHLT"   
double                                "hltAkIsoTau5Regional"      "rho"             "MYHLT"   
double                                "hltAkIsoTau6Regional"      "rho"             "MYHLT"   
double                                "hltAkIsoTau7Regional"      "rho"             "MYHLT"   
double                                "hltAkIsoTau8Regional"      "rho"             "MYHLT"   
double                                "hltAkIsoTau9Regional"      "rho"             "MYHLT"   
double                                "hltAK4CaloJetsPF"          "sigma"           "MYHLT"   
double                                "hltAK4Iter1TrackJets4Iter2"   "sigma"           "MYHLT"   
double                                "hltAK4PFJets"              "sigma"           "MYHLT"   
double                                "hltAK4PFJetsForTaus"       "sigma"           "MYHLT"   
double                                "hltAkIsoTau10Regional"     "sigma"           "MYHLT"   
double                                "hltAkIsoTau11Regional"     "sigma"           "MYHLT"   
double                                "hltAkIsoTau12Regional"     "sigma"           "MYHLT"   
double                                "hltAkIsoTau1Regional"      "sigma"           "MYHLT"   
double                                "hltAkIsoTau2Regional"      "sigma"           "MYHLT"   
double                                "hltAkIsoTau3Regional"      "sigma"           "MYHLT"   
double                                "hltAkIsoTau4Regional"      "sigma"           "MYHLT"   
double                                "hltAkIsoTau5Regional"      "sigma"           "MYHLT"   
double                                "hltAkIsoTau6Regional"      "sigma"           "MYHLT"   
double                                "hltAkIsoTau7Regional"      "sigma"           "MYHLT"   
double                                "hltAkIsoTau8Regional"      "sigma"           "MYHLT"   
double                                "hltAkIsoTau9Regional"      "sigma"           "MYHLT"   
edm::Association<vector<reco::PFJet> >    "hltTauPFJets08Region"      ""                "MYHLT"   
edm::AssociationMap<edm::OneToMany<vector<L2MuonTrajectorySeed>,vector<L2MuonTrajectorySeed>,unsigned int> >    "hltL2Muons"                ""                "MYHLT"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "hltL2Muons"                ""                "MYHLT"   
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hltL2TauPixelIsoTagProducer"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltDoubletRecoveryClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter1ClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter2ClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter2IterL3FromL1MuonClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter2IterL3MuonClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter3IterL3FromL1MuonClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter3IterL3MuonClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltPixelTripletsClustersRefRemovalRegForTau"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltDoubletRecoveryClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter1ClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter2ClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter2IterL3FromL1MuonClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter2IterL3MuonClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter3IterL3FromL1MuonClustersRefRemoval"   ""                "MYHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter3IterL3MuonClustersRefRemoval"   ""                "MYHLT"   
edm::DetSetVector<PixelDigi>          "hltSiPixelDigis"           ""                "MYHLT"   
edm::DetSetVector<PixelDigi>          "hltSiPixelDigisRegForTau"   ""                "MYHLT"   
edm::DetSetVector<SiPixelRawDataError>    "hltSiPixelDigis"           ""                "MYHLT"   
edm::EDCollection<DetId>              "hltSiPixelDigis"           ""                "MYHLT"   
edm::EDCollection<DetId>              "hltSiStripExcludedFEDListProducer"   ""                "MYHLT"   
edm::EDCollection<DetId>              "hltSiPixelDigis"           "UserErrorModules"   "MYHLT"   
edm::EDCollection<EBDetId>            "hltEcalDigis"              "EcalIntegrityChIdErrors"   "MYHLT"   
edm::EDCollection<EBDetId>            "hltEcalDigis"              "EcalIntegrityGainErrors"   "MYHLT"   
edm::EDCollection<EBDetId>            "hltEcalDigis"              "EcalIntegrityGainSwitchErrors"   "MYHLT"   
edm::EDCollection<EEDetId>            "hltEcalDigis"              "EcalIntegrityChIdErrors"   "MYHLT"   
edm::EDCollection<EEDetId>            "hltEcalDigis"              "EcalIntegrityGainErrors"   "MYHLT"   
edm::EDCollection<EEDetId>            "hltEcalDigis"              "EcalIntegrityGainSwitchErrors"   "MYHLT"   
edm::EDCollection<EcalElectronicsId>    "hltEcalDigis"              "EcalIntegrityBlockSizeErrors"   "MYHLT"   
edm::EDCollection<EcalElectronicsId>    "hltEcalDigis"              "EcalIntegrityMemBlockSizeErrors"   "MYHLT"   
edm::EDCollection<EcalElectronicsId>    "hltEcalDigis"              "EcalIntegrityMemChIdErrors"   "MYHLT"   
edm::EDCollection<EcalElectronicsId>    "hltEcalDigis"              "EcalIntegrityMemGainErrors"   "MYHLT"   
edm::EDCollection<EcalElectronicsId>    "hltEcalDigis"              "EcalIntegrityMemTtIdErrors"   "MYHLT"   
edm::EDCollection<EcalElectronicsId>    "hltEcalDigis"              "EcalIntegrityTTIdErrors"   "MYHLT"   
edm::EDCollection<EcalElectronicsId>    "hltEcalDigis"              "EcalIntegrityZSXtalIdErrors"   "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltDoubletRecoveryPFlowCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltDoubletRecoveryPFlowTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0IterL3FromL1MuonCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0IterL3FromL1MuonTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0IterL3MuonCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0IterL3MuonTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0PFlowCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0PFlowTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1Merged"            ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1PFlowCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1PFlowTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1PixelTracks"       ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3FromL1MuonCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3FromL1MuonMerged"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3FromL1MuonTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3MuonCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3MuonMerged"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3MuonTrackSelectionHighPurity"   ""                "MYHLT"   
